"main","vol_veh_yr"
" ADELAIDE ST E ",9163
" ADELAIDE ST W ",8818
" ALBION RD ",16394
" ALLIANCE AVE ",8780
" ALNESS ST ",7876
" ANNETTE ST ",9363
" ASHTONBEE RD ",7898
" ATTWELL DR ",6967
" AVENUE RD ",20682
" BAMBURGH CRCL ",3793
" BATHURST ST ",17493
" BAY ST ",14524
" BAYVIEW AVE ",22914
" BEECROFT RD ",8072
" BELFIELD RD ",7643
" BELLAMY RD N ",8821
" BERMONDSEY RD ",9826
" BIRCHMOUNT RD ",12956
" BLACK CREEK DR ",25389
" BLOOR ST ",14398
" BLOOR ST E ",16136
" BLOOR ST W ",14123
" BONIS AVE ",4677
" BREMNER BLVD ",6892
" BRENTCLIFFE RD ",10837
" BRENYON WAY ",2748
" BRIDLETOWNE CRCL ",5174
" BRIMLEY RD ",14664
" BRITISH COLUMBIA RD ",5836
" BROADVIEW AVE ",10915
" BROWNS LINE ",17311
" BURNHAMTHORPE RD ",21686
" CALEDONIA RD ",12589
" CARLINGVIEW DR ",7070
" CARLTON ST ",6787
" CASTLEFIELD AVE ",10037
" CHAPLIN CRES ",8121
" CHERRY ST ",15814
" CHESSWOOD DR ",10601
" CHRISTIE ST ",6708
" CHURCH ST ",10150
" CLONMORE DR ",11986
" COLLEGE ST ",10972
" COMMISSIONERS ST ",5029
" COMSTOCK RD ",6961
" CONSILIUM PL ",9144
" CONSUMERS RD ",9725
" CORPORATE DR ",6631
" COSBURN AVE ",8030
" COXWELL AVE ",10017
" CUMMER AVE ",10939
" DANFORTH AVE ",13453
" DANFORTH RD ",11564
" DAVENPORT RD ",13089
" DAWES RD ",7738
" DIXON RD ",18992
" DON MILLS RD ",23735
" DON MILLS RD E ",7937
" DON MILLS RD W ",9311
" DONLANDS AVE ",13063
" DORIS AVE ",9416
" DOVERCOURT RD ",9251
" DREWRY AVE ",9696
" DUFFERIN ST ",18241
" DUNDAS ST E ",10455
" DUNDAS ST W ",15537
" DUPLEX AVE ",6813
" DUPONT ST ",13921
" DWIGHT AVE ",3580
" EASTERN AVE ",11148
" EGLINTON AVE E ",23817
" EGLINTON AVE W ",18872
" ELLESMERE RD ",16659
" ESTHER SHINER BLVD ",3914
" EVANS AVE ",12781
" FAIRVIEW MALL DR ",10533
" FENMAR DR ",8958
" FINCH AVE E ",19058
" FINCH AVE W ",19318
" FORT YORK BLVD ",7407
" FRONT ST E ",9482
" FRONT ST W ",10568
" GARDINER E PARK LAWN RD RAMP ",7957
" GATEWAY BLVD ",6229
" GERRARD ST E ",11197
" GERRARD ST W ",9443
" GRANTBROOK ST ",4454
" GREENWOOD AVE ",9180
" GUILDWOOD PKWY ",6900
" GUNNS RD ",4240
" HALLAM ST ",7058
" HARBORD ST ",8546
" HARBOUR ST ",13737
" HIGHWAY 27 ",24059
" HORNER AVE ",7550
" HOSKIN AVE ",6686
" HUMBER COLLEGE BLVD ",8586
" HUMBERWOOD BLVD ",7890
" HUNTINGWOOD DR ",8310
" IAN MACDONALD BLVD ",11406
" INGRAM DR ",7108
" ISLINGTON AVE ",16677
" JANE ST ",16764
" JARVIS ST ",16014
" KEELE ST ",18116
" KENNEDY RD ",22571
" KING ST E ",8601
" KING ST W ",10684
