"main","day_of_week","veh_ped_traffic"
" ADELAIDE ST E ","Tuesday",37282
" ADELAIDE ST W ","Tuesday",34437
" ALBION RD ","Wednesday",143656
" ALLIANCE AVE ","Thursday",9278
" ALNESS ST ","Tuesday",22426
" ANNETTE ST ","Thursday",36316
" ASHTONBEE RD ","Monday",8370
" ATTWELL DR ","Monday",6998
" AVENUE RD ","Thursday",226410
" BAMBURGH CRCL ","Monday",4460
" BATHURST ST ","Wednesday",259156
" BAY ST ","Thursday",372938
" BAYVIEW AVE ","Monday",190108
" BEECROFT RD ","Thursday",26060
" BELFIELD RD ","Wednesday",7702
" BELLAMY RD N ","Tuesday",12278
" BERMONDSEY RD ","Monday",11615
" BIRCHMOUNT RD ","Wednesday",216869
" BLACK CREEK DR ","Wednesday",79080
" BLOOR ST ","Thursday",37733
" BLOOR ST E ","Saturday",73291
" BLOOR ST W ","Thursday",305660
" BONIS AVE ","Thursday",6411
" BREMNER BLVD ","Wednesday",8482
" BRENTCLIFFE RD ","Wednesday",11551
" BRENYON WAY ","Thursday",2831
" BRIDLETOWNE CRCL ","Wednesday",5659
" BRIMLEY RD ","Thursday",185284
" BRITISH COLUMBIA RD ","Tuesday",5861
" BROADVIEW AVE ","Tuesday",38168
" BROWNS LINE ","Thursday",19116
" BURNHAMTHORPE RD ","Monday",65723
" CALEDONIA RD ","Monday",26578
" CARLINGVIEW DR ","Thursday",15046
" CARLTON ST ","Monday",14277
" CASTLEFIELD AVE ","Monday",20314
" CHAPLIN CRES ","Monday",8872
" CHERRY ST ","Monday",28616
" CHESSWOOD DR ","Thursday",10812
" CHRISTIE ST ","Monday",8745
" CHURCH ST ","Tuesday",141015
" CLONMORE DR ","Wednesday",12124
" COLLEGE ST ","Tuesday",86302
" COMMISSIONERS ST ","Monday",5337
" COMSTOCK RD ","Monday",7062
" CONSILIUM PL ","Thursday",9442
" CONSUMERS RD ","Wednesday",10305
" CORPORATE DR ","Wednesday",7907
" COSBURN AVE ","Thursday",8259
" COXWELL AVE ","Monday",42588
" CUMMER AVE ","Thursday",24413
" DANFORTH AVE ","Thursday",191884
" DANFORTH RD ","Thursday",97626
" DAVENPORT RD ","Monday",65311
" DAWES RD ","Monday",8431
" DIXON RD ","Tuesday",161197
" DON MILLS RD ","Wednesday",174493
" DON MILLS RD E ","Thursday",9790
" DON MILLS RD W ","Wednesday",19459
" DONLANDS AVE ","Saturday",19156
" DORIS AVE ","Thursday",32873
" DOVERCOURT RD ","Saturday",15768
" DREWRY AVE ","Wednesday",10619
" DUFFERIN ST ","Monday",283527
" DUNDAS ST E ","Monday",127896
" DUNDAS ST W ","Wednesday",210089
" DUPLEX AVE ","Wednesday",8457
" DUPONT ST ","Saturday",49285
" DWIGHT AVE ","Wednesday",4301
" EASTERN AVE ","Monday",41818
" EGLINTON AVE E ","Monday",336277
" EGLINTON AVE W ","Monday",423675
" ELLESMERE RD ","Saturday",99152
" ESTHER SHINER BLVD ","Monday",8059
" EVANS AVE ","Thursday",28136
" FAIRVIEW MALL DR ","Wednesday",28841
" FENMAR DR ","Monday",9022
" FINCH AVE E ","Tuesday",298896
" FINCH AVE W ","Tuesday",255587
" FORT YORK BLVD ","Wednesday",7924
" FRONT ST E ","Tuesday",13530
" FRONT ST W ","Tuesday",42641
" GARDINER E PARK LAWN RD RAMP ","Tuesday",7957
" GATEWAY BLVD ","Tuesday",8763
" GERRARD ST E ","Wednesday",78226
" GERRARD ST W ","Wednesday",17359
" GRANTBROOK ST ","Wednesday",4523
" GREENWOOD AVE ","Monday",11060
" GUILDWOOD PKWY ","Thursday",7989
" GUNNS RD ","Wednesday",4416
" HALLAM ST ","Thursday",8325
" HARBORD ST ","Wednesday",32856
" HARBOUR ST ","Tuesday",15905
" HIGHWAY 27 ","Tuesday",75773
" HORNER AVE ","Tuesday",8924
" HOSKIN AVE ","Monday",9719
" HUMBER COLLEGE BLVD ","Tuesday",10936
" HUMBERWOOD BLVD ","Monday",8264
" HUNTINGWOOD DR ","Monday",8440
" IAN MACDONALD BLVD ","Wednesday",13137
" INGRAM DR ","Thursday",7307
" ISLINGTON AVE ","Tuesday",148225
" JANE ST ","Thursday",225707
" JARVIS ST ","Tuesday",190108
" KEELE ST ","Tuesday",338712
" KENNEDY RD ","Thursday",229748
" KING ST E ","Tuesday",61080
" KING ST W ","Wednesday",213932
" KINGSTON RD ","Wednesday",306879
" KIPLING AVE ","Tuesday",242536
" LAIRD DR ","Saturday",39086
" LAKE SHORE BLVD E ","Monday",100944
" LAKE SHORE BLVD W ","Wednesday",243879
" LANSDOWNE AVE ","Saturday",21008
" LAWRENCE AVE E ","Tuesday",276350
" LAWRENCE AVE W ","Monday",140127
" LEBOVIC AVE ","Thursday",5276
" LESLIE ST ","Wednesday",125124
" LOWER JARVIS ST ","Tuesday",17635
" LOWER SHERBOURNE ST ","Wednesday",9655
" LOWER SIMCOE ST ","Monday",7826
" LUMSDEN AVE ","Thursday",9475
" MAIN ST ","Saturday",22748
" MARKHAM RD ","Saturday",220204
" MARLEE AVE ","Tuesday",26946
" MARTIN GROVE RD ","Tuesday",156373
" MCCOWAN RD ","Saturday",150300
" MCLEVIN AVE ","Thursday",12022
" MCNICOLL AVE ","Thursday",51588
" MEADOWVALE RD ","Wednesday",9618
" MIDDLEFIELD RD ","Wednesday",28921
" MIDLAND AVE ","Wednesday",152953
" MILITARY TRL ","Wednesday",9365
" MILLWICK DR ","Tuesday",13487
" MILLWOOD RD ","Thursday",24589
" MILNER AVE ","Tuesday",25470
" MORNINGSIDE AVE ","Wednesday",140634
" MORTIMER AVE ","Saturday",17880
" MOUNT PLEASANT RD ","Monday",132987
" MURRAY ROSS PKWY ","Monday",3941
" NEILSON RD ","Thursday",64562
" NORTH QUEEN ST ","Thursday",11385
" O CONNOR DR ","Wednesday",77871
" OAK ST ","Wednesday",11027
" OAKDALE RD ","Tuesday",7787
" OAKWOOD AVE ","Tuesday",14757
" OLD FINCH AVE ","Thursday",1081
" OLD KINGSTON RD ","Wednesday",6155
" OLD WESTON RD ","Thursday",18623
" ORIOLE PKWY ","Wednesday",38568
" ORTON PARK RD ","Thursday",3615
" OSSINGTON AVE ","Thursday",28789
" OVERLEA BLVD ","Wednesday",36711
" PAPE AVE ","Saturday",20667
" PARK HOME AVE ","Monday",24062
" PARK LAWN RD ","Thursday",41564
" PARKSIDE DR ","Wednesday",30555
" PARKWOODS VILLAGE DR ","Tuesday",23215
" PARLIAMENT ST ","Saturday",33163
" PASSMORE AVE ","Saturday",8202
" PHARMACY AVE ","Thursday",114649
" PORT UNION RD ","Thursday",16261
" POYNTZ AVE ","Tuesday",6514
" PRINCES BLVD ","Tuesday",1518
" PROGRESS AVE ","Monday",49663
" QUEEN ST E ","Tuesday",95130
" QUEEN ST W ","Wednesday",149580
" QUEENS PARK ","Thursday",22654
" QUEENS PARK CRES E ","Wednesday",51441
