"tcs_no","main","midblock_route","side_one_route","side_two_route","activation_date","latitude","longitude","count_date","peak_eight_hr_vehicle_volume","peak_eight_hr_pedestrian_volume"
2," JARVIS ST ",""," FRONT ST E ","",1948-11-15T00:00:00.0000000,43.6494179,-79.3714447,2017-06-21T00:00:00.0000000,15662,13535
3," KING ST E ",""," JARVIS ST ","",1950-08-23T00:00:00.0000000,43.65046,-79.3719254,2016-09-17T00:00:00.0000000,12960,7333
4," JARVIS ST ",""," ADELAIDE ST E ","",1958-09-12T00:00:00.0000000,43.651535,-79.37236,2016-11-08T00:00:00.0000000,17770,7083
5," JARVIS ST ",""," RICHMOND ST E ","",1962-04-21T00:00:00.0000000,43.6527176,-79.3728256,2015-12-08T00:00:00.0000000,19678,4369
6," JARVIS ST ",""," QUEEN ST E ","",1928-08-24T00:00:00.0000000,43.6537056,-79.37324,2016-09-17T00:00:00.0000000,14487,3368
7," JARVIS ST ",""," SHUTER ST ","",1948-11-18T00:00:00.0000000,43.6553574,-79.37386,2016-11-08T00:00:00.0000000,15846,3747
8," JARVIS ST ",""," DUNDAS ST E ","",1928-06-21T00:00:00.0000000,43.65705,-79.3745346,2017-06-27T00:00:00.0000000,17835,5858
9," JARVIS ST ",""," GERRARD ST E ","",1941-07-14T00:00:00.0000000,43.66043,-79.3758545,2016-11-01T00:00:00.0000000,18196,6493
10," JARVIS ST ",""," CARLTON ST ","",1928-06-28T00:00:00.0000000,43.66242,-79.37671,2017-01-21T00:00:00.0000000,14222,6165
11," JARVIS ST ",""," WELLESLEY ST E ","",1948-09-28T00:00:00.0000000,43.66629,-79.37833,2016-11-01T00:00:00.0000000,18163,5213
12," JARVIS ST ",""," ISABELLA ST ","",1960-09-13T00:00:00.0000000,43.66887,-79.37942,2016-11-01T00:00:00.0000000,15197,2713
13," MOUNT PLEASANT RD ",""," CHARLES ST E ","JARVIS ST ",1950-05-23T00:00:00.0000000,43.66999,-79.37992,2016-11-01T00:00:00.0000000,16280,2976
14," BLOOR ST E ",""," TED ROGERS WAY ","",1951-03-28T00:00:00.0000000,43.6715775,-79.38052,2018-01-11T00:00:00.0000000,15844,9810
15," CHURCH ST ",""," FRONT ST E ","WELLINGTON ST E ",1950-04-24T00:00:00.0000000,43.6485138,-79.37383,2015-04-20T00:00:00.0000000,10467,7381
16," KING ST E ",""," CHURCH ST ","",1928-01-10T00:00:00.0000000,43.6499176,-79.37441,2016-11-08T00:00:00.0000000,12017,20866
17," CHURCH ST ",""," ADELAIDE ST E ","",1948-11-22T00:00:00.0000000,43.6511726,-79.37492,2016-11-08T00:00:00.0000000,13816,9692
18," CHURCH ST ",""," RICHMOND ST E ","",1948-11-22T00:00:00.0000000,43.65244,-79.37545,2016-11-08T00:00:00.0000000,10374,7179
19," QUEEN ST E ",""," CHURCH ST ","",1983-08-24T00:00:00.0000000,43.65317,-79.3757553,2016-11-08T00:00:00.0000000,13867,11799
20," CHURCH ST ",""," SHUTER ST ","",1948-11-18T00:00:00.0000000,43.6548157,-79.37644,2016-11-08T00:00:00.0000000,11028,6952
